87,533,Фонд инновационных 			научно-образовательных программ «Современное Естествознание»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,Цикл 			научно-образовательных школ-конференций «Современное естествознание – школам 			России»,1 800 000
88,542,"Фонд 			""Независимая литературная премия ""Дебют""",г. Москва,"Поддержка 			сайта ""Новая литературная карта России""",3 500 000
89,549,Автономная  некоммерческая организация Средняя общеобразовательная  школа «Наследник»,"г.Москва, 			Санкт-Петербург, Ленинградская область, Рязанская область, Нижний 			Новгород,  Ярославская область, 			Мурманская область, Кемеровская область, Московская  область, Воронежская область, Архангельская 			область, Саратовская область, Владимирская область, Костромская область, 			Омская область, Оренбургская область, Самарская область, Смоленская область, 			Липецкая область, Приморский край,  			Красноярский край, Тульская область, Калининградская область,  Тюменская область, Иркутская область, 			Краснодарский край, Республика Бурятия, Ханты-Мансийский Автономный округ – 			Югра","«Формирование 			финансовой грамотности школьников, как  			реализация права на финансовую защищенность и безопасность»",2 500 000
90,557,"Некоммерческая 			организация Национальный Союз ""Медико-биологическая защита""",Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,Образовательный 			проект в области обучения населения защите и оказанию первой медицинской 			помощи при чрезвычайных ситуациях,600 000
91,570,Региональная 			общественная организация «Дом молодёжных общественных объединений»,"Белгородская 			область, Брянская обл., Владимирская обл., Воронежская обл., Ивановская обл., 			Калужская обл., Костромская обл., Курская обл., Липецкая обл., г. Москва, 			Московская обл., Орловская обл., Рязанская обл., Смоленская обл., Тамбовская 			обл., Тверская обл., Тульская обл., Ярославская обл.","Межрегиональная 			конференция молодых лидеров ""Молодежь центральной России""",1 500 000
92,580,Национально-культурная 			общественная организация «Московская осетинская община»,"Москва, 			Санкт-Петербург, Владикавказ(Северная Осетия), Цхинвал(Южная Осетия), Самара, 			Волгоград, Ярославль, Беслан и другие регионы Российской Федерации",Ежемесячная 			газета «Москва-Алания»,1 000 000
93,582,Некоммерческое 			партнерство «Русское арфовое общество»,"Российская 			Федерация, ближнее и дальнее зарубежье",Культурно-просветительский  проект: «Второй Международный Конкурс 			арфистов» Посвящается 100-летию со дня рождения великой русской арфистки Веры 			Дуловой,900 000
94,587,Автономная 			некоммерческая организация «Центр международных проектов»,"Республика 			Бурятия, Иркутская область, Забайкальский край, Республика Тыва",«Общественная 			дипломатия» как компонент российско-монгольского сотрудничества по защите 			природной среды озера Байкал через экологически  ответственное природопользование в пределах 			его трансграничного бассейна»,1 300 000
95,589,Межрегиональная 			общественная организация Научно-просветительный центр «Холокост»,"Москва, 			Московская обл., Еврейская автономная область., Свердловская область, Краснодарский 			край, Новгородская область, Республика Мари Эл, Ростовская область, Санкт – 			Петербург, Самарская область, Ставропольский край, Республика Татарстан",Уроки 			Холокоста – путь к толерантности,1 000 000
96,591,Некоммерческая 			организация «Фонд духовной культуры и образования «Новая Русь»,"Центральный 			федеральный округа Российской Федерации, г. Кириллов Вологодской области, г. 			Прокопьевск Кемеровской обл.",Развитие  системы духовно-нравственного и патриотического 			воспитания путем применения современных инновационных методов и средств,1 500 000
