80,919,Межрегиональная   общественная организация «Информационно-образовательная Сеть коренных народов   «Льыоравэтльан»,г.Горно-Алтайск             СФО,Создание сети   информационных центров для оказания консультативной помощи организациям и   общинам коренных малочисленных народов,"443 391,00","Республика Алтай, Республика Карелия, Республика Тыва,   Республика Хакасия, Республика Дагестан, Алтайский край, Красноярский край,   Кемеровская область, Ленинградская область, Иркутская область"
81,921,"Общероссийская общественная организация «Ассоциация   коренных малочисленных народов Севера, Сибири и Дальнего Востока РФ»",г. Москва             ЦФО,Саммит лидеров коренных народов Арктическогорегиона:             Промышленное освоение Арктики и коренные народы – возможности устойчивого   развития в меняющемся мире,"2 400 000,00","г. Москва, Арктические регионы РФ, Зарубежные Арктические   территории"
82,925,Автономная некоммерческая организация «Центр молодежных и   детских развивающих программ»,г. Москва             ЦФО,«Адаптация студентов к послевузовской социальной среде»,"500 000,00",Российская Федерация
83,935,Религиозная организация Буддийский университет «Даши   Чойнхорлин» имени Даржа Заяева,с. Верхняя Иволга Республика Бурятия СФО,Культурно-просветительский проект “Буддизм для детей”,"2 000 000,00",Российская Федерация
84,939,Автономная некоммерческая организация «Центр социальных   инвестиций при Балашовском филиале Саратовского государственного университета»,г. Балашов             Саратовская область             ПФО,"Внедрение в учебный процесс вуза малого города технологии   вовлечения студентов в партнерские социально-культурные проекты   некоммерческих организаций, органов местного самоуправления,   социально-ответственного бизнеса (в контексте стандартов третьего поколения)","350 000,00",г. Балашов Саратовской области
85,942,Региональный благотворительный общественный Фонд поддержки   неигрового кино имени Романа Кармена,г. Москва  ЦФО,К 65-летию Великой Победы: продвижение к зрителю   отечественного документального кино.,"299 979,00",Российская Федерация
86,962,Автономная некоммерческая организация «Агентство   социальной информации»,г. Москва ЦФО,«Волонтерство против кризиса»,"1 300 000,00",Российская Федерация
87,963,Московская областная общественная организация содействия   развитию системы социальной защиты граждан «Комитет поддержки социальной   справедливости»,г. Москва ЦФО,Исследование «Программа развития российской культуры 2020»,"5 000 000,00",Российская   Федерация
88,964,Некоммерческое партнерство «Научно-инновационное   сообщество промышленников»,г. Москва ЦФО,«Новое Кино России»,"3 000 000,00",Российская Федерация
89,978,Карельская региональная общественная организация «Живая   деревня»,д. Коткозеро Республика Карелия СЗФО,Создание сельских школ взрослых «Новая деревня» как фактор   социально-экономической защиты селян,"573 100,00","Беломорский Кондопожский, Олонецкий, Прионежский,   Пряжинский, Питкярантский районы Республики Карелия"
90,981,"Русская школьная библиотечная ассоциация, некоммерческая   организация",г. Москва ЦФО,Антикризисная программа поддержки школьных библиотек и их   специалистов - защита и сохранение важнейшего социального института детства,"1 000 000,00",Российская Федерация
91,983,АНО «Центр оказания помощи населению»,г. Ульяновск Ульяновская область ПФО,Организация занятости студентов-выпускников в общественном   секторе путем их привлечения к участию в акциях по общественному контролю   деятельности местных органов власти,"1 800 000,00",Ульяновская область
92,984,Некоммерческая организация «Национальная ассоциация телерадиовещателей»,г. Москва             ЦФО,"Кадры для электронных СМИ – 2010. Поддержка, переподготовка, повышение   квалификации молодых специалистов отрасли","1 000 000,00",Российская Федерация
93,994,Владимирское региональное отделение Молодежного союза   юристов России,г. Владимир Владимирская область ЦФО,Контр- и посткризисные общественные и культурные тренды.   Социально-философское исследование,"5 000 000,00",Российская Федерация
94,1011,Некоммерческое партнерство «Общественное молодежное   движение за сохранение историко-культурного наследия «Сибирика»,"г. Томск, Томская область СФО",Молодежная полевая краеведческая школа «Сибирика-2010»,"850 000,00",Сибирский федеральный округ
95,1019,Нижегородская городская общественная организация   содействия развитию театра «ПИАНО»,г. Нижний Новгород   Нижегородская область ПФО,Социальный проект «Театр вне кризиса»,"500 000,00","г. Нижний Новгород, Нижегородская область, гг. Москва,   Санкт-Петербург"
96,1038,Городское общественое учреждение Спортивный клуб «Дельфин»,"г. Саранск             Республика Мордовия, ПФО",Велостратегия 2010,"400 000,00",г. Саранск
97,1054,Некоммерческое партнерство «Ассоциация благотворительных   организаций Республики Башкортостан»,г. Уфа Республика Башкортостан             ПФО,"Социальная адресная поддержка безработных и их семей в   городах Агидель, Межгорье, Кумертау Республики Башкортостан","11 115 000,00","Республика Башкортостан: гг. Уфа, Кумертау, Агидель,   Межгорье"
