363,"Нижегородский 			областной центр социально-трудовой и психологической реа-билитации инвалидов 			по зрению ""Камерата"" ОООИ-РАНСиС",Нижегородская 			область,Развитие 			кадровой и методической базы обучения незря-чих пользователей компьютера в 			Приволжском федераль-ном округе,"300 000,00"
367,"Некоммерческая 			организация Центр Казачьей культуры ""Ставрополь - город Святого 			Креста""",Самарская 			область,"IV Открытый 			фестиваль ""Туроверовские чтения"", посвященный памяти великого 			казачьего поэта XX века,","300 000,00"
368,"Мордовское 			республиканское детско-юношеское общественное движение ""Истоки""",Республика 			Мордовия,"""Приоритет"" 			- создание инновационной педагогической площадки для развития педагогических 			вожатских объединений","230 000,00"
374,"Автономная 			некоммерческая организация ""Институт диаспоры и интеграции"" 			(""Институт стран СНГ"")",г. Москва,"""Эволюция 			социально-политического положения российской диаспоры в странах СНГ""","3 500 000,00"
380,"Ульяновский 			городской общественный фонд поддержки культуры и искусства ""Живой 			звук""",Ульяновская 			область,Международная 			молодёжная Ассамблея национальных культур,"700 000,00"
383,"Региональная 			общественная организация ""Коренные женщины Республики Коми""",Республика Коми,Этнографическая 			деревня,"700 000,00"
385,"Общероссийская 			общественная организация инвалидов ""Всероссийское общество глухих""",г. Москва,Проведение 			Всероссийского фестиваля творчества инвалидов по слуху,"700 000,00"
387,"Автономная 			некоммерческая организация ""Ульяновский клуб гражданского 			образования""",Ульяновская 			область,"""ЗаРЯ!"" 			(За русский язык!)","500 000,00"
396,"Тюменская 			региональная благотворительная молодежная общественная организация ""Мост 			надежды""._",Тюменская 			область,"""Детдом, 			тюрьма…Что дальше?"" в рамках программы ""Пристань надежды""","1 000 000,00"
397,"Фонд 			""Центр духовного возрождения Черноземного края""",Воронежская 			область,Региональный 			компонент в воспитании патриотизма подрастающего поколения: новые подходы.,"220 000,00"
401,"""Фонд 			содействия духовному, культурному и хозяйственному единству Республики   Беларусь,   			Российской   Федерации,   Украины   			и   других православных 			государств""",Белгородская 			область,"""Содействие 			гуманитарному и экономическому сотрудничеству приграничных и других регионов 			России с Украиной и Беларусью""","285 000,00"
406,"Орловская 			областная организация общероссийской общественной организации 			""Всероссийское Общество Инвалидов"";",Орловская 			область,"""Социокультурная 			реабилитация людей с ограниченными физическими возможностями  через  			формирование  в первичных 			организациях ВОИ, ВОГ и ВОС информационно-аналитических центров газеты 			""Орловские вести ВОИ"" сообщества инвалидов Орловской области""","300 000,00"
414,"Саратовская 			региональная общественная организация ""Согдиана""",Саратовская 			область,"""Адаптационный 			центр мигрантов""","400 000,00"
416,"Общественная 			организация ""Архангельский городской штаб школьников им.  А.П. Гайдара""",Архангельская 			область,"Лагерь труда и 			отдыха ""Соловки 2008""","200 000,00"
419,"Алтайский 			краевой общественный Фонд ""Алтай - 21 век""",Алтайский край,"Научно-практический 			семинар ""Единое культурное пространство Большого Алтая""","330 000,00"
423,"Некоммерческое 			партнёрство ""Координирующий ""Помор - центр""",Архангельская 			область,"Межведомственная, 			междисциплинарная, экспериментальная, целевая подпрограмма ""Соловецкие 			юнги"" (2005-2016гг)","700 000,00"
424,Дубровское 			районное отделение Брянской региональной организации Общероссийской 			общественной организации инвалидов войны в Афганистане.,Брянская область,"""Солдаты 			войны против войны""","190 000,00"
428,"Автономная 			некоммерческая организация ""Белгородская дирекция экономического форума 			Собора славянских народов Беларуси, России, Украины""",Белгородская 			область,Три страны - 			один народ - интеграция как фактор процветания славянского народа,"900 000,00"
429,"Межрегиональная 			общественная организация ""Лингвистический Клуб""",Республика 			Дагестан,Дагестанский 			Ресурсный Центр НКО,"900 000,00"
430,"Общественная 			организация Союз детских организаций Томской области ""Чудо""",Томская область,ЧУДО - Медиа,"300 000,00"
431,"Самарское 			региональное отделение Международной общественной организации 			""Российская Ассоциация содействия ООН""",Самарская 			область,"""Молодежный 			клуб политической культуры""","175 000,00"
434,"Общероссийская 			общественная организация ""Российская Ассоциация Героев""",г. Москва,"""Герои 			России - Отчизне"". Ежегодная музыкальная премия ""Голос 			Отечества""","1 200 000,00"
439,Некоммерческая 			общественная организация национально-культурная автономия татар Ивановской 			области,Ивановская 			область,"Социальный 			проект ""Этнокультурный компонент в современной школе как средство 			воспитания культуры межнационального общения""","500 000,00"
443,"Общественная 			организация ""магаданская областная организация всероссийского общества 			инвалидов"" г. Магадан",Магаданская 			область,"""Оказание 			практической помощи учащимся общеобразовательных школ с ограниченными 			физическими возможностями в освоении общеобразовательных программ 			экстерном""","420 000,00"
444,Магаданская 			областная общественная Ассоциация коренных малочисленных народов и этнических 			групп Севера,Магаданская 			область,"""Жив язык - 			живет народ""","450 000,00"
445,"Межрегиональная 			общественная организация ""Форум женщин Уральского федерального 			округа""",Свердловская 			область,"Ассамблея 			""Женщины - лидеры новой России""","500 000,00"
448,"Калининградский 			общественный фонд ""Центр поддержки общественных инициатив""",Калининградская 			область,"""Идея-концепция-проект-закон""","300 000,00"
457,"Региональная 			общественная организация ""Научно-техническая ассоциа-ция 			""Актуальные проблемы фундаментальных наук""",г. Москва,"Организация и 			проведение Российской научной школы-семинара ""Академия юных"" для 			школьников 7-10 классов","600 000,00"
458,"Образовательное 			учреждение профсоюзов ""Академия труда и социальных отношений""",г. Москва,"""Создание 			дистанционной системы обучения и подготовки профсоюзных 	кадров в 			регионах""","2 000 000,00"
459,"Региональная 			общественная благотворительная организация ""Новгородский фонд 			культуры""",Новгородская 			область,"""Одаренные 			дети""","290 000,00"
462,"Автономная 			некоммерческая организация ""Брасс-Аккорд""",Московская 			область,Мозаика Большого 			Искусства,"1 800 000,00"
467,"Некоммерческая 			организация  ""Муниципальный союз 			Тюменской области""",Тюменская 			область,Создание и 			развитие интернационального веб-портала Уральского федерального округа,"800 000,00"
468,"Автономная 			некоммерческая организация ""Центр поддержки гражданских инициатив 			""Содействие""",Самарская 			область,"""Эстафета 			социально-педагогических инноваций""","500 000,00"
471,"Оренбургская 			региональная общественная организация ""Наша земля""",Оренбургская 			область,Аманат - 			завещание предков,"500 000,00"
